Year,ACC,Big_Ten,Big_12,Pac_12,SEC,Other,Height_IN,Weight_LBS,Wonderlic,40_Yard,Bench_Press,Vert_Leap_IN,Broad_Jump_IN,Shuttle,3Cone,Started
2020,0,0,0,0,0,1,75.13,229,NA,4.69,NA,35,125,4.51,7.33,No
2020,0,0,0,0,0,0,75.63,221,NA,NA,NA,NA,NA,NA,NA,Yes
2020,0,0,0,0,0,1,76.13,224,NA,5,NA,28,109,4.37,7.13,No
2020,0,0,0,1,1,0,77.88,231,NA,4.89,NA,27.5,110,4.75,7.5,No
2020,0,0,0,0,0,0,73.88,219,NA,5.01,NA,30,111,4.51,7.27,No
2020,0,0,0,1,0,0,74.38,205,NA,NA,NA,NA,NA,NA,NA,No
2020,0,0,0,1,0,1,78.25,236,NA,4.68,NA,35.5,123,4.46,7.06,Yes
2020,0,0,1,0,0,1,73,222,NA,4.59,NA,35,125,NA,NA,Yes
2020,0,1,0,0,0,1,74.5,213,NA,4.95,NA,31,113,4.4,7.14,No
2020,0,0,0,0,0,1,75.75,224,NA,4.74,NA,35.5,118,4.52,7.21,Yes
2020,0,0,0,0,1,0,75.13,215,NA,4.58,NA,36,121,4.52,7.13,No
2020,0,0,0,1,0,0,76,231,NA,4.68,NA,33,117,4.43,7.25,No
2020,0,0,0,0,0,1,76,229,NA,4.89,NA,29,112,4.64,7.51,No
2020,0,1,0,0,1,0,73,202,NA,4.71,NA,31,116,4.5,7.14,No
2020,1,0,0,0,0,1,72.5,224,NA,4.47,21,38,123,NA,NA,Yes
2020,0,1,0,0,0,0,75.75,235,NA,4.81,NA,28.5,108,4.48,7.26,No
2020,0,0,0,0,0,1,72,217,NA,NA,NA,NA,NA,NA,NA,Yes
2019,0,0,0,1,0,1,74,211,NA,4.74,NA,29,112,4.44,7.19,No
2019,0,0,0,0,0,0,76,213,NA,4.73,NA,30.5,116,4.2,7.2,Yes
2019,0,0,0,0,0,0,73.75,208,NA,NA,NA,NA,NA,NA,NA,No
2019,0,0,1,0,0,0,74.5,217,NA,4.84,NA,34,112,4.28,7.09,Yes
2019,0,1,0,0,0,0,75.38,231,NA,5.04,NA,28.5,NA,NA,NA,Yes
2019,0,0,0,0,0,1,79,249,NA,4.59,NA,34.5,120,4.28,7.09,No
2019,1,0,0,0,0,0,77.13,221,NA,4.81,NA,33.5,120,4.41,7,Yes
2019,0,0,0,0,0,0,75.75,228,NA,4.69,NA,31,112,4.12,7.03,Yes
2019,0,1,0,0,1,0,72.13,202,NA,4.57,NA,33,115,4.12,7.09,Yes
2019,0,0,0,1,0,0,72.88,225,NA,4.97,NA,33.5,116,4.45,7.14,No
2019,0,0,1,0,0,1,70.13,207,NA,NA,NA,NA,NA,NA,NA,Yes
2019,0,0,0,0,0,0,73.75,210,NA,4.91,NA,33,116,4.29,7.1,No
2019,0,0,0,0,1,0,76,230,NA,4.91,NA,29.5,106,4.53,7.51,No
2019,0,0,0,0,0,0,73.25,224,NA,4.62,NA,33.5,118,4.05,6.65,Yes
2019,0,0,0,0,0,0,74.38,218,NA,4.81,NA,31,110,4.33,7.28,Yes
2019,0,0,0,0,1,0,74.63,221,NA,4.77,NA,27.5,109,4.36,7.06,No
2019,0,1,0,0,0,1,76,222,NA,NA,NA,NA,NA,NA,NA,No
2018,0,0,0,0,0,1,72.38,210,NA,4.81,NA,29.5,112,4.48,7.18,No
2018,0,0,0,0,0,0,76.88,237,NA,4.75,NA,33.5,119,4.4,6.9,Yes
2018,0,1,0,0,1,0,73.25,224,NA,4.7,NA,30,108,4.44,7.38,No
2018,1,0,0,0,0,0,74.63,218,NA,4.95,16,31,112,4.33,7.15,No
2018,0,0,0,0,0,0,75,220,NA,NA,NA,NA,NA,NA,NA,No
2018,0,0,0,0,0,0,75.38,221,NA,4.85,NA,26.5,105,4.4,6.96,Yes
2018,0,0,1,0,0,0,74.5,209,NA,NA,NA,NA,NA,NA,NA,No
2018,0,0,0,0,0,1,74.5,222,NA,4.76,NA,30.5,114,4.37,7.09,No
2018,0,0,0,1,0,1,75.63,215,NA,NA,NA,26.5,103,NA,NA,Yes
2018,0,0,0,0,0,0,74.75,212,NA,4.98,NA,29,110,4.4,6.96,No
2018,0,0,0,0,0,1,70.38,214,NA,4.63,NA,NA,112,4.57,6.81,No
2018,1,0,0,0,0,0,74.25,216,NA,NA,NA,NA,NA,NA,NA,Yes
2018,0,0,0,0,0,0,74.63,222,NA,4.81,NA,31,113,4.07,6.95,Yes
2018,0,1,0,0,0,0,76.25,218,NA,4.98,NA,32,115,4.41,7,No
2018,0,0,0,0,1,0,77,230,NA,4.9,NA,29.5,106,4.53,7.49,No
2018,0,0,1,0,0,0,72.63,215,NA,4.84,NA,29,111,4.28,7,Yes
2018,0,0,0,1,0,1,76,226,NA,4.92,NA,31,111,4.28,7.09,Yes
2018,0,0,1,0,0,1,75,220,NA,4.88,NA,28.5,101,4.32,7.28,No
2018,0,0,0,0,0,0,76.63,224,NA,5.09,NA,27,96,4.4,7.4,No
2018,0,0,0,0,0,0,73.25,213,NA,4.79,NA,31.5,103,4.15,6.94,Yes
2017,0,0,0,0,0,1,75.25,216,29,4.64,NA,33,122,4.31,6.75,Yes
2017,1,0,0,0,0,0,74.63,232,21,4.8,NA,26.5,112,4.41,NA,No
2017,1,0,0,0,1,0,75.75,214,34,NA,NA,NA,NA,NA,NA,No
2017,0,0,0,0,0,0,73.75,224,22,NA,NA,NA,NA,4.08,NA,Yes
2017,1,0,0,0,0,0,76.13,233,28,4.83,NA,30.5,107,4.53,7.4,Yes
2017,0,0,0,0,0,0,72.75,219,NA,4.54,NA,35.5,124,4.14,7.04,No
2017,0,1,0,0,0,1,75.38,226,NA,4.93,NA,34.5,123,4.25,6.96,No
2017,0,0,0,1,1,0,75.38,232,NA,5.08,NA,27,105,4.45,7.32,No
2017,0,0,1,0,0,1,74.13,225,24,4.8,NA,30,114,4.08,6.88,Yes
2017,1,0,0,0,1,0,74.63,226,33,4.82,NA,31,110,4.31,7.14,Yes
2017,0,0,0,0,0,1,74.63,228,NA,4.93,NA,27,105,4.47,7.23,No
2017,0,0,1,0,0,0,74.88,213,NA,NA,NA,NA,NA,NA,NA,No
2017,1,0,0,0,1,0,74.13,222,25,4.67,NA,27.5,116,4.25,6.87,Yes
2017,1,0,0,0,0,1,74.13,221,20,4.66,NA,32.5,119,4.31,6.95,Yes
2017,0,0,0,1,0,0,76.63,229,25,4.79,NA,33,118,4.21,6.92,No
2016,0,0,0,1,0,0,70.88,200,NA,4.83,NA,29.5,114,4.2,6.82,No
2016,0,0,0,0,0,1,73.38,217,NA,4.84,NA,28,110,4.33,7.06,Yes
2016,0,0,0,0,0,1,72,212,NA,4.77,NA,32,110,4.4,NA,No
2016,0,0,0,0,0,0,75.75,231,NA,4.94,NA,31,113,4.53,7.17,Yes
2016,0,1,0,0,0,1,76,217,NA,4.79,NA,33,113,4.28,7.21,Yes
2016,0,0,0,0,0,0,74.75,213,NA,5.22,NA,27,103,4.52,7.49,No
2016,0,0,0,0,0,1,76,234,NA,4.56,NA,32,122,4.25,7.19,Yes
2016,0,0,0,1,0,1,76,215,36,4.82,NA,27,110,4.47,7.17,Yes
2016,0,1,0,0,0,0,76.38,223,NA,4.78,NA,31,114,4.33,7.04,No
2016,0,0,0,1,0,1,75.25,218,NA,4.78,NA,32.5,113,4.31,6.9,Yes
2016,0,1,0,0,0,0,77,253,NA,4.81,NA,36,NA,NA,NA,Yes
2016,0,0,0,0,0,1,73.25,220,NA,4.89,NA,29.5,104,4,7.32,Yes
2016,0,0,0,0,0,0,78.63,244,NA,4.86,NA,36,118,4.26,7.14,Yes
2016,0,0,0,0,0,0,74.25,226,NA,4.79,NA,32.5,116,4.32,7.11,Yes
2016,0,1,0,0,0,0,77.25,236,NA,4.8,NA,33.5,115,4.33,7.29,No
2016,0,0,0,0,0,1,77.25,237,29,4.77,NA,30.5,118,4.15,6.86,Yes
2016,0,0,0,0,0,1,74.88,231,NA,4.8,NA,31,116,4.31,6.74,No
2015,0,0,0,0,1,0,74.25,211,NA,4.81,NA,37,125,4.2,7.13,No
2015,1,0,0,0,0,0,72.25,231,20,5.03,NA,26.5,100,4.62,7.47,No
2015,0,0,0,0,0,0,76.38,229,NA,4.72,NA,33,110,4.37,7.18,No
2015,0,0,0,0,0,1,73.88,218,25,4.94,NA,29.5,104,4.45,7.17,No
2015,0,0,0,0,0,0,73.5,223,31,4.63,NA,32.5,118,4.1,6.95,No
2015,0,0,0,1,1,0,75,196,31,4.87,NA,NA,NA,NA,NA,No
2015,0,0,0,1,0,0,75.25,226,26,4.63,NA,36,120,3.98,6.93,Yes
2015,0,0,0,0,0,0,76,237,NA,4.95,NA,NA,NA,NA,NA,No
2015,0,0,0,0,0,0,75,225,NA,4.9,NA,NA,NA,NA,NA,No
2015,0,0,0,1,0,0,77.63,229,40,5.14,NA,31,105,4.39,7.29,Yes
2015,0,0,0,1,0,1,75.75,222,NA,4.52,NA,36,121,4.11,6.87,Yes
2015,0,0,0,0,0,0,73,207,NA,4.84,NA,NA,NA,NA,NA,No
2015,0,0,0,0,0,0,76,220,NA,4.92,NA,NA,NA,NA,NA,No
2015,0,0,1,0,0,0,74.88,230,31,4.87,NA,34,121,4.13,6.91,Yes
2015,0,0,0,1,0,0,75,208,NA,4.79,NA,NA,NA,NA,NA,No
2015,0,1,0,0,0,0,74.88,210,NA,4.94,NA,NA,NA,NA,NA,Yes
2015,0,0,1,0,1,0,72.88,204,NA,4.85,NA,NA,NA,NA,NA,No
2015,1,0,0,0,0,1,76.38,220,NA,5.06,19,40,123,4.18,6.96,No
2015,1,0,0,0,0,1,75.75,231,27,4.97,NA,28.5,103,4.36,7.16,Yes
2014,0,0,0,0,0,0,77,232,28,4.93,NA,32.5,114,4.21,7.08,Yes
2014,1,0,0,0,0,1,72.63,222,NA,4.84,NA,30.5,104,4.23,7.33,No
2014,0,0,0,0,0,1,74.38,214,20,4.69,NA,34.5,110,4.2,NA,Yes
2014,0,0,0,0,0,0,73.63,212,NA,4.99,NA,28,102,4.5,7.55,Yes
2014,0,0,0,0,0,0,74.25,226,24,4.97,NA,30.5,110,4.26,7.04,Yes
2014,0,0,0,0,0,0,72.13,217,NA,4.76,NA,29.5,109,4.2,6.55,No
2014,0,0,0,0,0,0,71.75,207,32,4.68,NA,31.5,112,4.03,6.75,Yes
2014,0,0,0,0,0,1,75.75,223,NA,5.26,NA,25.5,104,4.36,7.14,No
2014,0,0,0,0,0,1,75.25,220,NA,4.94,NA,28,99,4.34,7.18,Yes
2014,0,0,0,0,1,0,76.88,224,NA,NA,NA,NA,NA,NA,NA,Yes
2014,1,0,0,0,0,0,73.88,213,NA,4.63,NA,30,111,4.49,7.36,No
2014,0,0,0,0,0,1,72.5,207,NA,NA,NA,NA,NA,NA,NA,No
2014,1,0,0,0,0,1,75.25,228,NA,4.87,NA,25.5,108,4.3,7.22,No
2014,1,0,0,0,0,1,75.88,228,NA,4.97,NA,27,104,4.36,7.33,Yes
2014,0,0,0,0,0,0,72.38,206,NA,4.66,NA,34,115,4.33,7.07,No
2014,1,0,0,0,0,1,78.13,248,NA,4.61,NA,35.5,116,4.18,7.05,Yes
2014,0,0,0,0,0,1,76.88,235,NA,4.95,NA,29,108,4.43,7.25,No
2014,0,0,0,0,0,1,74.63,218,NA,5,NA,28,99,4.25,7.07,No
2013,0,0,0,0,0,0,78.13,232,24,5.05,NA,NA,100,4.51,7.2,No
2013,0,0,0,0,0,0,74.13,212,NA,4.78,NA,30.5,112,4.28,6.98,No
2013,0,0,0,0,0,1,74.88,227,24,4.81,NA,NA,NA,NA,NA,No
2013,0,0,0,0,0,1,79.13,225,26,4.94,NA,26.5,102,4.52,7.49,Yes
2013,0,0,1,0,0,0,76.13,225,28,5.11,NA,31,115,4.3,7.12,Yes
2013,0,0,1,0,0,0,76.88,226,NA,4.78,NA,29,111,4.4,7.17,No
2013,1,0,0,0,0,1,76.63,237,28,4.65,NA,34,118,4.21,7.08,No
2013,1,0,0,0,0,1,74.13,227,41,5.06,NA,28.5,105,4.53,7.34,Yes
2013,1,0,0,0,0,0,75.13,219,NA,NA,NA,NA,NA,NA,NA,Yes
2013,0,0,0,1,0,0,74.13,213,22,4.69,NA,31,118,3.99,6.69,No
2013,0,0,1,0,0,0,74.38,218,24,4.58,NA,33.5,124,NA,NA,Yes
2013,0,0,0,0,0,0,76.5,229,NA,4.97,NA,29,112,4.55,7.17,No
2013,0,1,0,0,0,0,74.75,226,NA,4.92,NA,32,116,4.52,6.95,No
2013,0,0,0,0,0,0,74.13,215,20,4.95,NA,28.5,112,4.39,7.22,No
2012,0,0,0,0,0,1,75.5,215,NA,4.61,NA,31.5,106,4.3,7.03,No
2012,0,1,0,0,0,0,74.63,214,33,4.84,NA,28.5,109,4.5,7.05,Yes
2012,0,0,0,0,0,1,73.63,219,NA,4.69,NA,31,109,4.11,6.73,No
2012,0,0,1,0,0,1,74.38,223,24,4.33,NA,39,120,NA,NA,No
2012,0,0,0,0,0,1,73.63,219,NA,4.68,NA,32.5,112,4.15,6.78,No
2012,1,0,0,0,0,1,75,203,NA,4.65,NA,37,113,4.4,7.1,No
2012,0,0,0,0,1,0,76.13,223,NA,4.58,14,36.5,116,4.06,6.81,No
2012,0,0,0,0,0,1,75.75,229,35,4.86,NA,29.5,108,4.45,7.52,Yes
2012,0,0,0,1,1,0,76,234,37,4.59,NA,36,124,4.28,6.8,Yes
2012,0,0,0,0,0,1,72,197,26,4.82,NA,27,99,4.56,7.41,No
2012,0,0,0,1,0,0,78.88,242,25,4.83,NA,NA,NA,NA,NA,Yes
2012,0,0,0,0,1,0,75.88,221,34,4.65,NA,NA,NA,NA,NA,Yes
2012,0,0,0,1,0,0,74.63,220,NA,4.77,14,36,121,4.28,7.17,No
2012,0,1,0,0,0,0,70.63,204,28,4.53,NA,34,118,4.09,6.97,Yes
2012,0,0,0,0,1,0,75.5,225,NA,5.08,NA,31.5,101,4.37,7.14,No
2011,0,0,0,0,0,0,74,215,29,4.83,NA,29.5,106,4.27,6.93,Yes
2011,0,0,0,0,0,1,75.38,225,NA,4.81,NA,33,116,4.32,7.08,No
2011,0,0,0,0,0,1,76.13,240,NA,5.12,NA,25.5,102,4.46,7.13,No
2011,0,0,0,0,1,0,76.38,234,42,4.61,NA,33.5,120,4.26,6.84,Yes
2011,0,0,0,0,0,1,77.13,251,NA,4.75,NA,29,119,4.31,7.28,No
2011,0,0,0,0,0,1,76.63,233,NA,4.53,NA,32.5,115,4.18,6.85,Yes
2011,0,0,0,1,0,1,74.5,231,20,4.51,NA,35,115,4.12,6.77,Yes
2011,0,0,0,0,0,0,78.75,253,26,5.24,NA,24,103,NA,NA,Yes
2011,0,0,0,0,0,0,73.88,220,43,4.84,NA,33,107,4.45,7.11,Yes
2011,0,0,0,0,0,0,77,248,21,4.56,NA,35,126,4.18,6.92,Yes
2011,1,0,0,0,0,0,74,229,35,4.63,NA,34,116,4.09,6.85,Yes
2011,0,0,0,0,0,0,74.88,211,NA,4.59,NA,40,126,4.12,6.84,No
2011,0,1,0,0,0,0,76.38,223,30,4.87,NA,32.5,110,4.43,6.95,No
2011,1,0,0,0,0,0,72.75,217,NA,4.47,NA,37.5,126,4.09,6.78,Yes
2011,0,1,0,0,0,1,74,212,NA,4.92,NA,29.5,116,4.12,6.84,No
2011,0,0,0,0,0,0,77.25,218,NA,4.83,NA,31,114,4.16,6.87,No
2011,1,0,0,0,1,0,75.38,219,NA,5.06,NA,29.5,104,4.12,6.96,No
2010,0,0,1,0,0,1,76.25,236,36,4.79,NA,NA,NA,NA,NA,Yes
2010,0,0,1,0,0,0,74.88,224,NA,4.5,NA,34.5,114,4.39,7.24,No
2010,0,0,0,0,0,1,75.5,229,NA,4.93,20,31.5,106,4.43,7.07,Yes
2010,0,0,0,1,0,0,75.75,223,NA,4.93,NA,29.5,100,4.39,7.26,No
2010,1,0,0,0,0,1,74.63,222,23,4.76,NA,NA,NA,NA,NA,Yes
2010,0,0,0,0,0,0,72.63,209,NA,4.84,NA,32,102,4.35,7.07,No
2010,0,0,0,0,0,1,76,229,NA,4.97,18,32.5,118,4.54,7.1,No
2010,0,1,0,0,0,1,75.13,225,NA,4.93,NA,32,110,4.37,6.96,Yes
2010,0,0,0,0,0,0,75.25,230,NA,4.6,NA,29.5,110,4.22,6.93,No
2010,1,0,0,0,0,1,72.5,215,NA,4.84,NA,28,107,NA,NA,No
2010,0,0,1,0,0,0,73.13,216,25,4.79,NA,NA,114,NA,NA,Yes
2010,0,0,1,0,1,0,77.75,223,NA,4.9,NA,28.5,108,4.53,7.06,Yes
2010,0,0,1,0,0,0,74.5,214,NA,4.68,NA,35,110,4.4,7.24,No
2010,0,0,0,0,0,0,77.38,243,24,4.85,NA,33.5,108,4.33,7.17,Yes
2010,1,0,0,0,0,1,72,214,NA,5.05,NA,30,101,4.29,7.04,No
2010,0,0,0,0,0,1,75,219,22,5.04,NA,33,106,4.33,7.08,No
2010,0,0,0,0,0,1,74.75,236,22,4.71,NA,38.5,115,4.17,6.66,Yes
2009,0,0,0,0,0,1,74.75,225,NA,4.82,26,31.5,111,4.47,7,No
2009,0,0,0,0,1,0,74.25,225,NA,4.7,25,NA,106,4.06,6.91,No
2009,0,0,0,0,1,0,77,220,NA,4.87,NA,28.5,106,4.37,6.93,Yes
2009,0,0,0,0,0,1,72.63,219,NA,4.86,NA,30.5,106,4.44,7.43,No
2009,1,0,0,0,0,0,76.38,235,NA,5.22,NA,26,99,4.59,7.4,No
2009,0,0,0,0,1,0,73.38,226,NA,4.95,NA,26.5,99,NA,NA,No
2009,0,0,1,0,1,0,77.75,248,27,4.9,NA,33.5,119,4.43,7.11,Yes
2009,1,0,0,0,1,0,75,225,NA,4.95,19,30,105,4.49,7.43,No
2009,0,0,1,0,0,0,74.13,223,23,5.07,NA,29.5,98,4.56,7.45,No
2009,0,0,0,0,0,1,76.13,242,NA,5.12,NA,27,108,4.65,7.93,No
2009,0,1,0,0,0,0,74,215,NA,5.02,NA,32,109,4.42,7.1,No
2009,0,0,0,0,0,0,74.88,225,NA,4.61,NA,33,112,4.49,7.34,Yes
2009,0,0,0,0,0,0,75.13,222,NA,NA,NA,NA,NA,NA,NA,Yes
2009,0,1,0,0,0,1,74.88,225,NA,4.87,NA,29,102,4.48,7,Yes
2009,0,0,0,0,0,0,75,214,NA,4.79,NA,30.5,109,4.11,6.76,No
2009,0,0,0,0,0,0,74.13,227,28,4.93,NA,32.5,116,4.21,7.06,Yes
2009,0,0,0,0,0,0,74.25,225,38,4.81,NA,30.5,107,4.47,7.06,Yes
2009,0,0,1,0,0,1,72.25,197,NA,4.55,NA,35,117,4.42,7.06,Yes
2009,0,0,0,0,0,0,75.13,215,NA,4.9,NA,30.5,109,4.45,7.18,No
2009,0,0,0,0,0,0,73.5,219,NA,4.75,NA,29.5,105,4.59,7.53,No
2008,0,0,0,0,0,1,77.5,225,22,5.04,NA,21.5,108,4.6,7.51,No
